Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,6.60734,7.20681,1.5
1,-82,15,10.1.1.2,4.1689,2.93441,1.5
2,-82,23,10.1.2.1,15.1109,9.02856,1.5
3,-82,15,10.1.2.2,16.4705,3.29978,1.5
4,-82,23,10.1.3.1,26.0309,4.5676,1.5
5,-82,15,10.1.3.2,26.4921,3.05435,1.5
6,-82,23,10.1.4.1,36.2392,3.28492,1.5
7,-82,15,10.1.4.2,33.1164,1.72151,1.5
8,-82,23,10.1.5.1,46.635,7.84704,1.5
9,-82,15,10.1.5.2,49.8113,8.14825,1.5
10,-82,23,10.1.6.1,56.0985,0.664084,1.5
11,-82,15,10.1.6.2,51.7742,2.0515,1.5
12,-82,23,10.1.7.1,63.9268,1.78956,1.5
13,-82,15,10.1.7.2,67.0693,6.88841,1.5
14,-82,23,10.1.8.1,76.6476,3.32234,1.5
15,-82,15,10.1.8.2,77.8113,2.38093,1.5
16,-82,23,10.1.9.1,85.273,5.22926,1.5
17,-82,15,10.1.9.2,88.6597,4.86988,1.5
18,-82,23,10.1.10.1,98.7793,0.504838,1.5
19,-82,15,10.1.10.2,98.0292,7.00127,1.5
20,-82,23,10.1.11.1,8.03726,18.228,1.5
21,-82,15,10.1.11.2,7.12884,10.439,1.5
22,-82,23,10.1.12.1,10.0969,16.4803,1.5
23,-82,15,10.1.12.2,14.5161,10.1512,1.5
24,-82,23,10.1.13.1,21.4744,19.5277,1.5
25,-82,15,10.1.13.2,20.57,19.3304,1.5
26,-82,23,10.1.14.1,31.6934,10.6341,1.5
27,-82,15,10.1.14.2,31.6066,15.7707,1.5
28,-82,23,10.1.15.1,43.1982,16.1123,1.5
29,-82,15,10.1.15.2,43.1359,11.7743,1.5
30,-82,23,10.1.16.1,54.6619,17.7859,1.5
31,-82,15,10.1.16.2,52.6585,12.901,1.5
32,-82,23,10.1.17.1,64.6386,12.0419,1.5
33,-82,15,10.1.17.2,69.649,19.8215,1.5
34,-82,23,10.1.18.1,75.003,10.9564,1.5
35,-82,15,10.1.18.2,78.7288,10.3237,1.5
36,-82,23,10.1.19.1,84.5572,11.188,1.5
37,-82,15,10.1.19.2,84.9075,19.2269,1.5
38,-82,23,10.1.20.1,90.7736,17.1052,1.5
39,-82,15,10.1.20.2,95.1317,15.8787,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,1.23158,1.8647,1.5
1,-82,15,10.1.1.2,7.96174,8.71649,1.5
2,-82,23,10.1.2.1,11.755,5.91755,1.5
3,-82,15,10.1.2.2,17.1075,8.03425,1.5
4,-82,23,10.1.3.1,28.4842,4.92066,1.5
5,-82,15,10.1.3.2,27.0527,8.79255,1.5
6,-82,23,10.1.4.1,31.8243,3.29692,1.5
7,-82,15,10.1.4.2,33.347,6.46142,1.5
8,-82,23,10.1.5.1,42.7115,1.69883,1.5
9,-82,15,10.1.5.2,49.2463,1.74815,1.5
10,-82,23,10.1.6.1,50.9694,5.64627,1.5
11,-82,15,10.1.6.2,51.7124,6.94845,1.5
12,-82,23,10.1.7.1,67.1588,7.66684,1.5
13,-82,15,10.1.7.2,61.9588,5.93239,1.5
14,-82,23,10.1.8.1,75.4402,0.357488,1.5
15,-82,15,10.1.8.2,72.868,1.60482,1.5
16,-82,23,10.1.9.1,85.266,0.783916,1.5
17,-82,15,10.1.9.2,80.7543,1.01686,1.5
18,-82,23,10.1.10.1,93.0673,8.39192,1.5
19,-82,15,10.1.10.2,99.3978,3.31521,1.5
20,-82,23,10.1.11.1,4.56651,18.413,1.5
21,-82,15,10.1.11.2,9.27171,19.896,1.5
22,-82,23,10.1.12.1,15.4395,12.4007,1.5
23,-82,15,10.1.12.2,16.5339,13.5472,1.5
24,-82,23,10.1.13.1,23.7902,15.3782,1.5
25,-82,15,10.1.13.2,23.4585,16.0789,1.5
26,-82,23,10.1.14.1,35.5228,11.4474,1.5
27,-82,15,10.1.14.2,31.7829,11.8019,1.5
28,-82,23,10.1.15.1,49.5763,11.8364,1.5
29,-82,15,10.1.15.2,45.5025,15.3047,1.5
30,-82,23,10.1.16.1,59.4846,13.394,1.5
31,-82,15,10.1.16.2,58.3066,18.1849,1.5
32,-82,23,10.1.17.1,69.3173,12.2656,1.5
33,-82,15,10.1.17.2,66.2639,12.8606,1.5
34,-82,23,10.1.18.1,74.4378,11.0738,1.5
35,-82,15,10.1.18.2,75.5727,19.7579,1.5
36,-82,23,10.1.19.1,85.1038,15.8096,1.5
37,-82,15,10.1.19.2,80.592,17.3428,1.5
38,-82,23,10.1.20.1,94.2396,14.2734,1.5
39,-82,15,10.1.20.2,99.9293,10.5177,1.5
