Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,32.7152,35.5927,1.5
1,-82,0,10.1.1.2,31.8485,36.0915,1.5
2,-82,0,10.1.2.1,15.0852,25.5322,1.5
3,-82,0,10.1.2.2,15.9046,24.959,1.5
4,-82,0,10.1.3.1,32.0583,16.839,1.5
5,-82,0,10.1.3.2,31.2608,16.2356,1.5
6,-82,0,10.1.4.1,22.9245,32.1621,1.5
7,-82,0,10.1.4.2,22.5832,33.102,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,6.91157,9.95054,1.5
1,-82,0,10.1.1.2,7.19764,8.99234,1.5
2,-82,0,10.1.2.1,42.8392,9.42408,1.5
3,-82,0,10.1.2.2,42.0008,8.87897,1.5
4,-82,0,10.1.3.1,35.1159,39.5644,1.5
5,-82,0,10.1.3.2,35.6957,38.7496,1.5
6,-82,0,10.1.4.1,24.6192,34.8528,1.5
7,-82,0,10.1.4.2,25.3449,34.1648,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,36.485,11.4543,1.5
1,-82,0,10.1.1.2,37.2022,12.1511,1.5
2,-82,0,10.1.2.1,8.70595,27.2246,1.5
3,-82,0,10.1.2.2,8.51911,28.207,1.5
4,-82,0,10.1.3.1,38.9505,10.2938,1.5
5,-82,0,10.1.3.2,39.4595,11.1546,1.5
6,-82,0,10.1.4.1,35.1926,25.6775,1.5
7,-82,0,10.1.4.2,34.5531,24.9086,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,33.7362,29.8126,1.5
1,-82,0,10.1.1.2,33.3672,28.8832,1.5
2,-82,0,10.1.2.1,23.697,21.7995,1.5
3,-82,0,10.1.2.2,24.6718,21.5766,1.5
4,-82,0,10.1.3.1,41.6236,45.3313,1.5
5,-82,0,10.1.3.2,40.6865,45.6803,1.5
6,-82,0,10.1.4.1,18.9538,15.1937,1.5
7,-82,0,10.1.4.2,18.3998,16.0262,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,37.3706,8.7191,1.5
1,-82,0,10.1.1.2,36.8256,7.88068,1.5
2,-82,0,10.1.2.1,22.8326,3.17712,1.5
3,-82,0,10.1.2.2,23.5838,2.5171,1.5
4,-82,0,10.1.3.1,2.91732,40.3316,1.5
5,-82,0,10.1.3.2,2.33615,39.5178,1.5
6,-82,0,10.1.4.1,33.0207,45.4331,1.5
7,-82,0,10.1.4.2,34.0199,45.4738,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,45.452,2.09659,1.5
1,-82,0,10.1.1.2,45.6137,3.08344,1.5
2,-82,0,10.1.2.1,44.3801,31.2173,1.5
3,-82,0,10.1.2.2,43.966,30.3071,1.5
4,-82,0,10.1.3.1,17.3171,31.1624,1.5
5,-82,0,10.1.3.2,16.9896,30.2176,1.5
6,-82,0,10.1.4.1,6.36949,47.8896,1.5
7,-82,0,10.1.4.2,5.3963,47.6596,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,4.31697,48.6051,1.5
1,-82,0,10.1.1.2,3.64226,49.3432,1.5
2,-82,0,10.1.2.1,16.7914,10.8615,1.5
3,-82,0,10.1.2.2,16.6629,11.8532,1.5
4,-82,0,10.1.3.1,43.8561,26.875,1.5
5,-82,0,10.1.3.2,43.491,25.944,1.5
6,-82,0,10.1.4.1,11.8733,11.3646,1.5
7,-82,0,10.1.4.2,11.4413,12.2665,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,37.8576,12.9664,1.5
1,-82,0,10.1.1.2,37.8875,11.9669,1.5
2,-82,0,10.1.2.1,7.82596,1.81436,1.5
3,-82,0,10.1.2.2,8.00213,2.79872,1.5
4,-82,0,10.1.3.1,40.175,28.3419,1.5
5,-82,0,10.1.3.2,41.1192,28.6712,1.5
6,-82,0,10.1.4.1,4.22996,18.2146,1.5
7,-82,0,10.1.4.2,4.90746,18.9501,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,26.387,6.5425,1.5
1,-82,0,10.1.1.2,25.8381,5.70661,1.5
