Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,279.461,39.7844,321.281,53.35,4.27946,3.3052,66.8804,25.5417,0.170148,0,18.569,0.00024,0,6.80228,332489,501393412,347620,524210960,329778,497305224,11839,578,0,0,0,0
1,0,0,0,0,0.595102,6.90461,0.419268,92.0825,63.1475,0,14.2416,0.985132,0,13.7082,0,0,0,0,0,0,0,0,329778,497305224,0,0
2,0,3.72633,0,0.99709,0.619451,10.2714,7.40142,81.7092,0.026604,0,8.70239,4.8e-05,0,72.9801,81965,123603220,37396,56393168,30888,46579104,1113,238,0,0,0,0
3,0,0,0,0,0.203814,19.1383,0.056232,80.6032,5.8962,0,6.44484,0.687372,0,67.5748,0,0,0,0,0,0,0,0,30888,46579104,0,0
4,0,6.0215,0,4.20672,0.568065,16.3631,10.6555,72.4183,0.029592,0,1.6016,0,0,70.7871,106198,160146584,54347,81955276,49913,75268804,1806,160,0,0,0,0
5,0,0,0,0,0.058692,16.1984,0.069116,83.6785,9.5037,0,6.48357,0,0,67.6912,0,0,0,0,0,0,0,0,49941,75311028,0,0
6,0,32.2137,0,48.5196,2.35032,11.9426,54.1519,31.5555,0.139528,0,9.17744,2.4e-05,0,22.2385,284341,428786228,281292,424188336,267023,402670684,9540,510,0,0,0,0
7,0,0,0,0,0.0857553,16.7427,0.3409,82.8309,50.802,0,10.4931,0.402532,0,21.1333,0,0,0,0,0,0,0,0,267023,402670684,0,0
8,0,6.92015,0,3.42376,0.812324,30.3189,12.7326,56.1335,0.03946,0,5.95915,1.2e-05,0,50.1349,108866,164169928,65095,98163260,57362,86501896,2060,282,0,0,0,0
9,0,0,0,0,0.0690612,43.9113,0.086852,55.9298,10.9274,0,6.37984,0.367932,0,38.2547,0,0,0,0,0,0,0,0,57362,86501896,0,0
10,0,16.0332,0,25.9497,1.92853,14.0373,28.8685,55.168,0.08532,0,5.9515,3.6e-05,0,49.1312,169687,255887996,149198,224990584,132901,200414708,4772,568,0,0,0,0
11,0,0,0,0,0.0764498,32.9846,0.192688,66.7434,25.4231,0,7.34888,0.63394,0,33.3375,0,0,0,0,0,0,0,0,132901,200414708,0,0
12,0,9.57556,0,6.42046,1.34045,22.7258,19.1123,56.8186,0.06548,0,9.50304,2.4e-05,0,47.25,126692,191051536,98228,148127824,79373,119694484,2991,534,0,0,0,0
13,0,0,0,0,0.0391847,36.3482,0.138036,63.4717,15.9126,0,10.5675,0.710572,0,36.2811,0,0,0,0,0,0,0,0,79371,119691468,0,0
14,0,23.349,0,28.76,2.03518,12.6556,40.0965,45.2097,0.107724,0,7.81473,0,0,37.2872,214098,322859784,207907,313523756,193543,291862844,6927,505,0,0,0,0
15,0,0,0,0,0.0687512,18.951,0.256556,80.7207,36.8723,0,5.33048,0.106672,0,38.4112,0,0,0,0,0,0,0,0,193543,291862844,0,0
16,0,4.57262,0,3.5444,0.727504,26.8105,9.1034,63.3556,0.033272,0,11.9157,0.000108,0,51.4065,96905,146132740,46109,69532372,37903,57157724,1355,302,0,0,0,0
